NM_ID,Gene,Disease,Disease_Category,Motif_Class,Subclass,Start,End,Length,Score
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,Slipped_DNA,STR,53,85,33,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,Z-DNA,eGZ,53,85,33,1.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,53,232,179,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,97,120,24,1.43
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,125,143,19,1.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,A-philic_DNA,A-philic DNA,159,170,12,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,159,185,26,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,159,1901,1742,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,164,185,22,1.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,208,232,25,1.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,R-Loop,R-loop formation sites,215,228,14,2.14
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,357,370,14,1.3
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,A-philic_DNA,A-philic DNA,394,403,10,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,433,460,28,1.01
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,Hybrid,G-Quadruplex_R-Loop_Overlap,433,1901,1468,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,R-Loop,R-loop formation sites,440,1901,1462,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Extended-loop canonical,663,694,32,1.67
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,759,787,29,1.16
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,A-philic_DNA,A-philic DNA,1144,1162,19,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1274,1295,22,1.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,i-Motif,Canonical i-motif,1890,1918,29,2.59
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,i-Motif,Canonical i-motif,1936,1959,24,3.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2076,2102,27,1.0
NM_005619,RTN2,"Spastic paraplegia 12, autosomal dominant, 604805 (3)",Other,R-Loop,R-loop formation sites,2205,2220,16,1.59
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1,17,17,1.14
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,Z-DNA,eGZ,1,15,15,1.0
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,Triplex,Triplex,127,147,21,1.0
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,519,536,18,1.4
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1428,1444,17,1.0
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,Triplex,Triplex,2235,2258,24,1.0
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,Curved_DNA,Local Curvature,2237,2244,8,2.11
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,Curved_DNA,Local Curvature,2449,2455,7,2.03
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,Curved_DNA,Global Curvature,3053,3093,41,2.05
NM_014585,SLC40A1,"Hemochromatosis, type 4, 606069 (3)",Other,Curved_DNA,Local Curvature,3081,3087,7,2.03
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,G-Quadruplex,Two-tetrad weak PQS,22,48,27,1.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,A-philic_DNA,A-philic DNA,27,36,10,3.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,27,170,143,3.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,G-Quadruplex,Two-tetrad weak PQS,50,78,29,1.77
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Z-DNA,eGZ,59,76,18,1.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,G-Quadruplex,Two-tetrad weak PQS,142,170,29,1.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,3324,3330,7,2.03
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,G-Quadruplex,Two-tetrad weak PQS,4132,4152,21,1.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,G-Quadruplex,Two-tetrad weak PQS,4657,4677,21,1.06
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Slipped_DNA,STR,5111,5130,20,3.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,5518,5525,8,2.11
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,6121,6128,8,2.11
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,6174,6181,8,2.11
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,6707,6713,7,2.03
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,7477,7485,9,2.18
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,8359,8366,8,2.11
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Global Curvature,8586,8626,41,1.51
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Global Curvature,8643,8683,41,2.05
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,G-Quadruplex,Two-tetrad weak PQS,9206,9222,17,1.1
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,9491,9498,8,2.11
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Global Curvature,9949,9989,41,2.05
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Triplex,Triplex,10228,10251,24,1.0
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,10294,10300,7,2.03
NM_001321099,PGAP1,"Mental retardation, autosomal recessive 42, 615802 (3)",Intellectual Disability,Curved_DNA,Local Curvature,10730,10736,7,2.03
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1,18,18,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Z-DNA,eGZ,1,12,12,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Hybrid,G-Quadruplex_A-philic_DNA_Overlap,1,19,18,2.84
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,1,981,980,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,A-philic_DNA,A-philic DNA,10,19,10,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,27,48,22,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Extended-loop canonical,99,131,33,1.8
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Hybrid,G-Quadruplex_A-philic_DNA_Overlap,99,133,34,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,R-Loop,R-loop formation sites,117,981,865,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Hybrid,R-Loop_G-Quadruplex_Overlap,117,984,867,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,A-philic_DNA,A-philic DNA,124,133,10,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,267,286,20,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,322,341,20,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,463,476,14,1.02
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Z-DNA,Z-DNA,600,609,10,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Z-DNA,Z-DNA,935,944,10,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,935,1814,879,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,956,984,29,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1018,1038,21,1.11
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Hybrid,G-Quadruplex_Z-DNA_Overlap,1018,1039,21,2.81
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Z-DNA,eGZ,1028,1039,12,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,R-Loop,R-loop formation sites,1143,1814,672,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1195,1206,12,1.63
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Extended-loop canonical,1349,1393,45,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1503,1524,22,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,A-philic_DNA,A-philic DNA,1530,1540,11,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1576,1596,21,1.45
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1939,1960,22,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1962,1990,29,1.48
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,R-Loop,R-loop formation sites,2317,3676,1360,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Intramolecular G-triplex,2317,2331,15,1.63
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,2317,3676,1359,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2366,2383,18,1.35
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2500,2518,19,1.55
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Curved_DNA,Local Curvature,2607,2623,17,2.5
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2903,2926,24,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2933,2955,23,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2961,2985,25,1.08
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,3106,3128,23,1.18
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,A-philic_DNA,A-philic DNA,3208,3217,10,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,3345,3366,22,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Intramolecular G-triplex,3527,3539,13,1.85
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,3627,3646,20,1.52
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,R-Loop,R-loop formation sites,3821,5242,1422,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,4274,4285,12,1.51
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,Curved_DNA,Local Curvature,4348,4356,9,2.18
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,4400,4427,28,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,4604,4624,21,1.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,A-philic_DNA,A-philic DNA,4739,4750,12,3.0
NM_002246,KCNK3,"Pulmonary hypertension, primary, 4, 615344 (3)",Other,i-Motif,Canonical i-motif,5214,5242,29,2.64
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,14,780,766,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,R-Loop,R-loop formation sites,14,780,767,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,i-Motif,Canonical i-motif,78,97,20,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,113,379,266,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,i-Motif,Canonical i-motif,113,133,21,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,176,205,30,1.48
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Hybrid,G-Quadruplex_Slipped_DNA_Overlap,176,221,45,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Hybrid,G-Quadruplex_Z-DNA_Overlap,176,221,45,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_3_classes,186,379,193,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Slipped_DNA,STR,186,221,36,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Z-DNA,eGZ,186,221,36,1.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,207,220,14,1.1
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,274,296,23,1.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Extended-loop canonical,346,379,34,1.36
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Z-DNA,eGZ,683,694,12,1.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,809,815,7,2.03
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1168,1196,29,1.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2599,2621,23,1.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,2890,2896,7,2.03
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,R-Loop,R-loop formation sites,2917,4380,1464,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,3812,3827,16,1.05
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,4335,4344,10,2.24
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,4558,4564,7,2.03
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,4568,4574,7,2.03
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Global Curvature,5405,5446,42,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,5773,5780,8,2.11
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Slipped_DNA,Direct Repeat,5861,5880,20,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,5863,5870,8,2.11
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,5873,5880,8,2.11
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,6305,6311,7,2.03
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Global Curvature,6328,6368,41,1.51
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Global Curvature,6598,6639,42,2.58
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Global Curvature,6912,6952,41,2.05
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,7156,7166,11,2.29
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,7511,7529,19,1.04
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,7650,7664,15,1.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,7754,7763,10,2.24
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,8186,8206,21,1.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Global Curvature,8755,8796,42,3.0
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,9085,9099,15,1.11
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,9125,9142,18,1.07
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,9290,9301,12,1.51
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,9368,9376,9,2.18
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,9378,9385,8,2.11
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Local Curvature,9498,9504,7,2.03
NM_001204,BMPR2,"Pulmonary venoocclusive disease 1, 265450 (3)",Other,Curved_DNA,Global Curvature,10531,10571,41,2.05
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,A-philic_DNA,A-philic DNA,10,20,11,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,10,36,26,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,11,36,26,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Z-DNA,eGZ,31,48,18,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,38,48,11,1.07
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Z-DNA,Z-DNA,60,69,10,1.06
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Hybrid,Z-DNA_G-Quadruplex_Overlap,60,84,24,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,60,443,383,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,64,84,21,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Hybrid,G-Quadruplex_A-philic_DNA_Overlap,64,88,24,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,A-philic_DNA,A-philic DNA,79,88,10,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,R-Loop,R-loop formation sites,177,443,267,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,386,411,26,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,A-philic_DNA,A-philic DNA,503,513,11,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Hybrid,A-philic_DNA_G-Quadruplex_Overlap,503,535,32,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,505,535,31,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,R-Loop,R-loop formation sites,867,1786,920,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,867,1786,919,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,984,1004,21,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,i-Motif,Canonical i-motif,1008,1030,23,2.55
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,A-philic_DNA,A-philic DNA,1069,1081,13,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1514,1538,25,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,1548,1572,25,1.28
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Canonical intramolecular G4,1681,1704,24,1.2
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,i-Motif,AC-motif,1760,1786,27,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_5_classes,1760,2843,1083,2.71
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Curved_DNA,Local Curvature,1912,1922,11,2.29
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,R-Loop,R-loop formation sites,1985,2843,859,3.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Extended-loop canonical,1985,2010,26,1.59
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Non-B_DNA_Clusters,Mixed_Cluster_4_classes,1985,2843,858,2.66
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Curved_DNA,Local Curvature,2022,2031,10,2.24
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Triplex,Triplex,2022,2048,27,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Curved_DNA,Local Curvature,2033,2048,16,2.48
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,Curved_DNA,Local Curvature,2201,2219,19,2.55
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2723,2748,26,1.49
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Two-tetrad weak PQS,2762,2784,23,1.0
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Intramolecular G-triplex,2795,2807,13,1.2
NM_000398,CYB5R3,"Methemoglobinemia, type II, 250800 (3)",Other,G-Quadruplex,Intramolecular G-triplex,2828,2839,12,1.8
NM_004327,BCR,"Leukemia, chronic myeloid, somatic, 608232 (3)",Cancer,R-Loop,R-loop formation sites,10,1021,1012,3.0
NM_004327,BCR,"Leukemia, chronic myeloid, somatic, 608232 (3)",Cancer,G-Quadruplex,Two-tetrad weak PQS,10,28,19,1.17
